nodes,p,agents,rounds
10,0.1,8,17
10,0.1,8,17
10,0.1,8,11
10,0.1,8,5
10,0.1,8,44
11,0.1,8,44
11,0.1,8,41
11,0.1,8,17
11,0.1,8,5
11,0.1,8,11
12,0.1,9,44
12,0.1,9,47
12,0.1,9,35
12,0.1,9,47
12,0.1,9,35
13,0.1,10,35
13,0.1,10,41
13,0.1,10,5
13,0.1,10,53
13,0.1,10,17
14,0.1,11,11
14,0.1,11,17
14,0.1,11,62
14,0.1,11,5
14,0.1,11,5
15,0.1,12,11
15,0.1,12,17
15,0.1,12,29
15,0.1,12,41
15,0.1,12,23
16,0.1,12,5
16,0.1,12,17
16,0.1,12,59
16,0.1,12,71
16,0.1,12,71
17,0.1,13,68
17,0.1,13,71
17,0.1,13,17
17,0.1,13,71
17,0.1,13,11
18,0.1,14,65
18,0.1,14,5
18,0.1,14,71
18,0.1,14,62
18,0.1,14,68
19,0.1,15,11
19,0.1,15,71
19,0.1,15,71
19,0.1,15,5
19,0.1,15,65
20,0.1,16,95
20,0.1,16,77
20,0.1,16,95
20,0.1,16,89
20,0.1,16,71
21,0.1,16,5
21,0.1,16,89
21,0.1,16,74
21,0.1,16,17
21,0.1,16,83
22,0.1,17,5
22,0.1,17,83
22,0.1,17,89
22,0.1,17,86
22,0.1,17,83
23,0.1,18,77
23,0.1,18,92
23,0.1,18,89
23,0.1,18,83
23,0.1,18,83
24,0.1,19,98
24,0.1,19,92
24,0.1,19,95
24,0.1,19,107
24,0.1,19,95
25,0.1,20,92
25,0.1,20,86
25,0.1,20,89
25,0.1,20,107
25,0.1,20,110
26,0.1,20,98
26,0.1,20,92
26,0.1,20,95
26,0.1,20,107
26,0.1,20,101
27,0.1,21,104
27,0.1,21,101
27,0.1,21,11
27,0.1,21,98
27,0.1,21,5
28,0.1,22,110
28,0.1,22,125
28,0.1,22,104
28,0.1,22,101
28,0.1,22,119
29,0.1,23,101
29,0.1,23,101
29,0.1,23,104
29,0.1,23,113
29,0.1,23,113
30,0.1,24,5
30,0.1,24,104
30,0.1,24,113
30,0.1,24,137
30,0.1,24,107
31,0.1,24,101
31,0.1,24,116
31,0.1,24,113
31,0.1,24,116
31,0.1,24,98
32,0.1,25,110
32,0.1,25,119
32,0.1,25,119
32,0.1,25,125
32,0.1,25,122
33,0.1,26,122
33,0.1,26,122
33,0.1,26,119
33,0.1,26,119
33,0.1,26,131
34,0.1,27,122
34,0.1,27,122
34,0.1,27,119
34,0.1,27,110
34,0.1,27,116
35,0.1,28,143
35,0.1,28,140
35,0.1,28,125
35,0.1,28,128
35,0.1,28,125
36,0.1,28,131
36,0.1,28,119
36,0.1,28,125
36,0.1,28,122
36,0.1,28,128
37,0.1,29,140
37,0.1,29,134
37,0.1,29,149
37,0.1,29,131
37,0.1,29,122
38,0.1,30,149
38,0.1,30,143
38,0.1,30,143
38,0.1,30,134
38,0.1,30,146
39,0.1,31,146
39,0.1,31,146
39,0.1,31,137
39,0.1,31,137
39,0.1,31,155
40,0.1,32,164
40,0.1,32,140
40,0.1,32,161
40,0.1,32,149
40,0.1,32,149
41,0.1,32,140
41,0.1,32,137
41,0.1,32,143
41,0.1,32,149
41,0.1,32,149
42,0.1,33,143
42,0.1,33,152
42,0.1,33,149
42,0.1,33,164
42,0.1,33,140
43,0.1,34,155
43,0.1,34,167
43,0.1,34,164
43,0.1,34,155
43,0.1,34,158
44,0.1,35,167
44,0.1,35,158
44,0.1,35,152
44,0.1,35,161
44,0.1,35,161
45,0.1,36,161
45,0.1,36,173
45,0.1,36,164
45,0.1,36,170
45,0.1,36,167
46,0.1,36,167
46,0.1,36,170
46,0.1,36,152
46,0.1,36,170
46,0.1,36,182
47,0.1,37,176
47,0.1,37,161
47,0.1,37,161
47,0.1,37,173
47,0.1,37,170
48,0.1,38,179
48,0.1,38,170
48,0.1,38,173
48,0.1,38,176
48,0.1,38,176
49,0.1,39,182
49,0.1,39,176
49,0.1,39,173
49,0.1,39,164
49,0.1,39,173
50,0.1,40,176
50,0.1,40,188
50,0.1,40,191
50,0.1,40,185
50,0.1,40,179
51,0.1,40,176
51,0.1,40,188
51,0.1,40,188
51,0.1,40,191
51,0.1,40,188
52,0.1,41,173
52,0.1,41,191
52,0.1,41,188
52,0.1,41,182
52,0.1,41,188
53,0.1,42,191
53,0.1,42,209
53,0.1,42,197
53,0.1,42,191
53,0.1,42,188
54,0.1,43,188
54,0.1,43,185
54,0.1,43,206
54,0.1,43,194
54,0.1,43,203
55,0.1,44,191
55,0.1,44,212
55,0.1,44,200
55,0.1,44,203
55,0.1,44,200
56,0.1,44,194
56,0.1,44,209
56,0.1,44,209
56,0.1,44,209
56,0.1,44,200
57,0.1,45,212
57,0.1,45,212
57,0.1,45,212
57,0.1,45,221
57,0.1,45,206
58,0.1,46,221
58,0.1,46,221
58,0.1,46,212
58,0.1,46,212
58,0.1,46,215
59,0.1,47,224
59,0.1,47,215
59,0.1,47,215
59,0.1,47,227
59,0.1,47,218
60,0.1,48,212
60,0.1,48,227
60,0.1,48,224
60,0.1,48,227
60,0.1,48,224
61,0.1,48,230
61,0.1,48,221
61,0.1,48,224
61,0.1,48,218
61,0.1,48,203
62,0.1,49,5
62,0.1,49,224
62,0.1,49,227
62,0.1,49,236
62,0.1,49,233
63,0.1,50,236
63,0.1,50,236
63,0.1,50,224
63,0.1,50,236
63,0.1,50,239
64,0.1,51,236
64,0.1,51,242
64,0.1,51,233
64,0.1,51,242
64,0.1,51,236
65,0.1,52,239
65,0.1,52,245
65,0.1,52,239
65,0.1,52,239
65,0.1,52,245
66,0.1,52,245
66,0.1,52,248
66,0.1,52,236
66,0.1,52,245
66,0.1,52,251
67,0.1,53,251
67,0.1,53,257
67,0.1,53,245
67,0.1,53,254
67,0.1,53,248
68,0.1,54,257
68,0.1,54,251
68,0.1,54,251
68,0.1,54,257
68,0.1,54,248
69,0.1,55,260
69,0.1,55,251
69,0.1,55,266
69,0.1,55,260
69,0.1,55,263
70,0.1,56,263
70,0.1,56,263
70,0.1,56,260
70,0.1,56,257
70,0.1,56,269
71,0.1,56,269
71,0.1,56,257
71,0.1,56,266
71,0.1,56,266
71,0.1,56,263
72,0.1,57,272
72,0.1,57,263
72,0.1,57,272
72,0.1,57,275
72,0.1,57,257
73,0.1,58,263
73,0.1,58,269
73,0.1,58,269
73,0.1,58,269
73,0.1,58,266
74,0.1,59,266
74,0.1,59,275
74,0.1,59,278
74,0.1,59,284
74,0.1,59,284
75,0.1,60,269
75,0.1,60,284
75,0.1,60,281
75,0.1,60,275
75,0.1,60,278
76,0.1,60,287
76,0.1,60,281
76,0.1,60,290
76,0.1,60,281
76,0.1,60,281
77,0.1,61,281
77,0.1,61,281
77,0.1,61,290
77,0.1,61,287
77,0.1,61,290
78,0.1,62,287
78,0.1,62,284
78,0.1,62,299
78,0.1,62,290
78,0.1,62,296
79,0.1,63,296
79,0.1,63,290
79,0.1,63,296
79,0.1,63,293
79,0.1,63,296
80,0.1,64,302
80,0.1,64,308
80,0.1,64,305
80,0.1,64,299
80,0.1,64,305
81,0.1,64,299
81,0.1,64,305
81,0.1,64,305
81,0.1,64,305
81,0.1,64,308
82,0.1,65,311
82,0.1,65,299
82,0.1,65,314
82,0.1,65,311
82,0.1,65,305
83,0.1,66,308
83,0.1,66,305
83,0.1,66,311
83,0.1,66,308
83,0.1,66,311
84,0.1,67,323
84,0.1,67,317
84,0.1,67,314
84,0.1,67,323
84,0.1,67,320
85,0.1,68,320
85,0.1,68,320
85,0.1,68,317
85,0.1,68,317
85,0.1,68,320
86,0.1,68,320
86,0.1,68,323
86,0.1,68,329
86,0.1,68,320
86,0.1,68,326
87,0.1,69,329
87,0.1,69,323
87,0.1,69,323
87,0.1,69,329
87,0.1,69,329
88,0.1,70,338
88,0.1,70,335
88,0.1,70,329
88,0.1,70,332
88,0.1,70,335
89,0.1,71,332
89,0.1,71,332
89,0.1,71,338
89,0.1,71,338
89,0.1,71,335
90,0.1,72,338
90,0.1,72,341
90,0.1,72,341
90,0.1,72,338
90,0.1,72,341
91,0.1,72,341
91,0.1,72,338
91,0.1,72,347
91,0.1,72,338
91,0.1,72,350
92,0.1,73,350
92,0.1,73,347
92,0.1,73,344
92,0.1,73,350
92,0.1,73,347
93,0.1,74,356
93,0.1,74,347
93,0.1,74,353
93,0.1,74,353
93,0.1,74,350
94,0.1,75,353
94,0.1,75,350
94,0.1,75,353
94,0.1,75,353
94,0.1,75,353
95,0.1,76,359
95,0.1,76,359
95,0.1,76,365
95,0.1,76,359
95,0.1,76,362
96,0.1,76,356
96,0.1,76,362
96,0.1,76,359
96,0.1,76,359
96,0.1,76,359
97,0.1,77,368
97,0.1,77,371
97,0.1,77,368
97,0.1,77,365
97,0.1,77,365
98,0.1,78,371
98,0.1,78,371
98,0.1,78,368
98,0.1,78,368
98,0.1,78,371
99,0.1,79,374
99,0.1,79,371
99,0.1,79,380
99,0.1,79,377
99,0.1,79,377
100,0.1,80,374
100,0.1,80,380
100,0.1,80,380
100,0.1,80,371
100,0.1,80,383
101,0.1,80,380
101,0.1,80,380
101,0.1,80,380
101,0.1,80,377
101,0.1,80,386
102,0.1,81,389
102,0.1,81,386
102,0.1,81,383
102,0.1,81,386
102,0.1,81,389
103,0.1,82,389
103,0.1,82,389
103,0.1,82,395
103,0.1,82,392
103,0.1,82,389
104,0.1,83,392
104,0.1,83,398
104,0.1,83,386
104,0.1,83,392
104,0.1,83,392
105,0.1,84,395
105,0.1,84,398
105,0.1,84,401
105,0.1,84,395
105,0.1,84,398
106,0.1,84,401
106,0.1,84,401
106,0.1,84,404
106,0.1,84,401
106,0.1,84,398
107,0.1,85,401
107,0.1,85,404
107,0.1,85,410
107,0.1,85,410
107,0.1,85,410
108,0.1,86,404
108,0.1,86,407
108,0.1,86,413
108,0.1,86,413
108,0.1,86,410
109,0.1,87,413
109,0.1,87,413
109,0.1,87,410
109,0.1,87,416
109,0.1,87,410
110,0.1,88,419
110,0.1,88,416
110,0.1,88,422
110,0.1,88,413
110,0.1,88,419
111,0.1,88,419
111,0.1,88,422
111,0.1,88,422
111,0.1,88,416
111,0.1,88,416
112,0.1,89,425
112,0.1,89,422
112,0.1,89,419
112,0.1,89,425
112,0.1,89,422
113,0.1,90,428
113,0.1,90,425
113,0.1,90,431
113,0.1,90,425
113,0.1,90,425
114,0.1,91,431
